University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,Latitude,Longitude
401–500,Dublin City University,Ireland,"13,956",25.4,17%,59:41:00,42.1–44.9,23.9,33.8,63.2,42.6,82.2,53.3853,-6.2588
401–500,Duy Tan University,Vietnam,"21,670",21.9,0%,62:38:00,42.1–44.9,14.4,12.6,100.0,37.7,48.6,16.0599,108.2097
401–500,Edinburgh Napier University,United Kingdom,"11,535",20.4,35%,53:47:00,42.1–44.9,17.9,17.0,81.3,37.0,87.8,,
401–500,University of Electronic Science and Technology of China,China,"35,232",15.4,3%,30 : 70,42.1–44.9,29.3,31.2,67.1,67.0,32.4,,
401–500,Ferhat Abbas Sétif University 1,Algeria,"34,637",22.7,1%,63:37:00,42.1–44.9,18.2,19.8,94.7,36.9,40.0,36.1961,5.3597
401–500,University of Ferrara,Italy,"20,507",32.6,5%,61:39:00,42.1–44.9,31.4,24.7,70.6,43.0,42.4,44.8334,11.6263
401–500,University of Florence,Italy,"39,407",23.0,9%,56:44:00,42.1–44.9,34.8,32.4,65.6,45.0,44.7,43.7778,11.2594
401–500,Free University of Bozen-Bolzano,Italy,"4,236",12.6,15%,68:32:00,42.1–44.9,23.5,19.4,83.3,38.5,74.2,46.4985,11.3507
401–500,University of Genoa,Italy,"20,447",23.7,8%,57:43:00,42.1–44.9,36.4,28.3,66.5,48.3,43.9,44.4137,8.9289
401–500,Georgia State University,United States,"34,734",17.3,5%,58:42:00,42.1–44.9,34.3,26.9,65.2,38.1,43.4,33.7531,-84.3853
401–500,Université Grenoble Alpes,France,"50,868",18.2,17%,52:48:00,42.1–44.9,37.6,35.0,56.1,40.4,65.5,45.1916,5.7672
401–500,Hanyang University,,"20,079",14.6,20%,,42.1–44.9,41.8,40.8,40.8,89.8,63.7,37.5572,127.0454
401–500,Hunan University,China,"41,580",18.6,2%,47:53:00,42.1–44.9,24.0,26.4,87.6,59.1,25.6,28.1789,112.944
401–500,University of Ibadan,Nigeria,"26,156",17.6,0%,49:51:00,42.1–44.9,30.1,15.7,83.7,37.4,34.5,7.4433,3.9003
401–500,Illinois Institute of Technology,United States,"6,386",11.5,41%,37 : 63,42.1–44.9,43.1,21.8,61.0,39.7,67.3,41.8349,-87.627
401–500,University of Innsbruck,Austria,"13,918",22.0,46%,53:47:00,42.1–44.9,33.9,30.1,55.9,52.5,96.2,47.2634,11.3838
401–500,Institut Agro,France,"2,148",11.5,16%,65:35:00,42.1–44.9,35.4,30.5,59.1,46.7,59.4,,
401–500,University of International Business and Economics,China,"16,061",15.7,15%,69:31:00,42.1–44.9,27.2,15.6,84.0,38.1,54.3,,
401–500,Iowa State University,United States,"28,767",16.7,10%,44:56:00,42.1–44.9,35.5,36.9,56.5,51.0,39.5,42.0267,-93.6465
401–500,Jazan University,Saudi Arabia,"26,568",13.0,3%,64:36:00,42.1–44.9,17.5,8.5,97.0,37.1,74.8,16.9658,42.5418
401–500,Justus Liebig University Giessen,Germany,"28,278",44.6,11%,63:37:00,42.1–44.9,33.1,37.3,60.2,43.7,51.8,50.5805,8.6771
401–500,University of Jyväskylä,Finland,"10,444",14.4,3%,62:38:00,42.1–44.9,28.5,33.3,68.0,38.2,51.2,62.2365,25.7316
401–500,University of Kansas,United States,"24,435",9.9,8%,53:47:00,42.1–44.9,38.1,24.4,67.2,46.3,49.2,38.9543,-95.2558
401–500,University of Klagenfurt,Austria,"3,562",10.0,28%,68:32:00,42.1–44.9,23.5,18.2,74.7,38.5,90.9,46.616,14.2654
401–500,Koç University,Turkey,"5,882",19.7,8%,48:52:00,42.1–44.9,30.7,42.3,56.1,100.0,49.3,41.2054,29.0724
401–500,University of KwaZulu-Natal,,"35,795",30.1,2%,60:40:00,42.1–44.9,30.4,34.4,63.9,38.2,51.5,-29.8674,30.9807
401–500,University of Lagos,Nigeria,"36,237",21.5,0%,48:52:00,42.1–44.9,18.5,14.0,97.7,40.9,34.0,6.5158,3.3898
401–500,Leibniz University Hannover,Germany,"21,677",43.7,18%,42:58:00,42.1–44.9,39.1,39.2,46.2,48.9,54.7,52.3822,9.7178
401–500,Lincoln University,New Zealand,"2,492",13.3,44%,51:49:00,42.1–44.9,29.7,22.6,59.9,51.7,96.4,39.8072,-75.9285
401–500,University of Lincoln,United Kingdom,"14,480",15.7,13%,55:45:00,42.1–44.9,17.8,17.4,85.8,37.5,75.4,39.8072,-75.9285
401–500,Liverpool John Moores University,United Kingdom,"21,725",17.4,16%,54:46:00,42.1–44.9,20.9,19.0,81.2,37.4,77.2,53.4037,-2.9731
401–500,Mahatma Gandhi University,India,"1,855",14.6,2%,61:39:00,42.1–44.9,42.5,31.5,58.1,37.9,21.9,9.6599,76.5309
401–500,University of Marburg,Germany,"23,383",31.2,12%,56:44:00,42.1–44.9,36.0,30.1,64.1,36.9,53.9,50.8102,8.774
401–500,Maynooth University,Ireland,"11,454",28.5,15%,55:45:00,42.1–44.9,21.7,28.9,71.7,39.5,82.5,53.3845,-6.6011
401–500,Middlesex University,United Kingdom,"15,905",18.7,50%,58:42:00,42.1–44.9,21.3,19.6,75.3,37.2,91.0,51.5897,-0.2293
401–500,University of Modena and Reggio Emilia,Italy,"21,409",26.9,5%,53:47:00,42.1–44.9,32.7,23.2,72.1,49.1,37.6,44.6451,10.9281
401–500,Muhimbili University of Health and Allied Sciences,Tanzania,"3,626",11.3,3%,41:59:00,42.1–44.9,17.0,11.0,99.9,39.1,49.2,-6.8079,39.2733
401–500,Murdoch University,Australia,"16,641",36.5,40%,61:39:00,42.1–44.9,21.6,27.8,70.6,46.7,93.2,-32.068,115.8352
401–500,National and Kapodistrian University of Athens,Greece,"66,649",31.0,11%,59:41:00,42.1–44.9,22.1,20.1,82.4,67.9,56.3,37.9682,23.7787
401–500,University of Nebraska-Lincoln,United States,"24,909",16.8,10%,49:51:00,42.1–44.9,34.0,31.0,60.5,39.6,56.1,40.8202,-96.7005
401–500,University of Nebraska Medical Center,United States,"3,181",2.0,9%,69:31:00,42.1–44.9,34.9,12.6,83.2,40.2,46.3,41.2549,-95.9759
401–500,Norwegian University of Science and Technology,Norway,"37,707",15.8,9%,48:52:00,42.1–44.9,30.0,34.7,60.1,42.9,67.5,63.4195,10.402
401–500,Nova Southeastern University,United States,"17,952",16.3,4%,70:30:00,42.1–44.9,39.4,10.6,87.5,36.9,28.9,26.0786,-80.2457
401–500,Örebro University,Sweden,"10,005",15.2,5%,61:39:00,42.1–44.9,17.7,21.8,87.1,37.7,55.1,59.2548,15.2493
401–500,University of Passau,Germany,"9,703",69.2,12%,61:39:00,42.1–44.9,35.6,38.1,54.5,43.0,53.6,48.5678,13.4528
401–500,University of Pisa,Italy,"33,791",21.9,6%,51:49:00,42.1–44.9,28.8,30.2,69.2,41.7,40.6,43.7167,10.3989
401–500,University of Plymouth,United Kingdom,"15,605",17.7,16%,58:42:00,42.1–44.9,22.2,22.7,79.6,37.2,73.0,50.3759,-4.1396
401–500,Pontificia Universidad Católica de Chile,Chile,"31,578",16.0,4%,,42.1–44.9,24.2,31.9,66.2,70.3,56.2,-33.4419,-70.6401
401–500,University of Porto,Portugal,"33,484",16.2,16%,55:45:00,42.1–44.9,26.6,32.3,63.7,41.9,57.9,41.1465,-8.6157
401–500,University of Portsmouth,United Kingdom,"22,490",16.4,29%,47:53:00,42.1–44.9,18.8,19.2,76.3,37.6,91.4,50.7953,-1.0939
401–500,Qazvin University of Medical Sciences,Iran,"2,598",9.2,1%,57:43:00,42.1–44.9,30.6,10.3,99.9,37.0,22.6,36.28,49.9899
401–500,Qom University of Medical Sciences,Iran,"2,272",9.1,4%,57:43:00,42.1–44.9,28.9,9.8,100.0,37.0,19.4,,
401–500,Quaid-i-Azam University,Pakistan,"9,250",16.5,1%,51:49:00,42.1–44.9,26.9,22.9,78.7,38.2,48.6,33.7476,73.1381
401–500,Sabancı University,,"3,819",20.0,10%,38 : 62,42.1–44.9,25.5,37.7,57.0,73.4,59.7,,
401–500,Sharif University of Technology,Iran,"9,219",22.5,2%,25 : 75,42.1–44.9,33.5,36.3,60.4,89.5,31.6,35.7036,51.3517
401–500,Shenzhen University,China,"38,240",14.1,1%,46:54:00,42.1–44.9,23.0,27.9,86.0,50.5,34.5,22.5331,113.9328
401–500,University of Siena,Italy,"12,948",18.7,9%,63:37:00,42.1–44.9,21.5,25.3,79.9,41.7,43.5,43.3191,11.3328
401–500,South China University of Technology,China,"40,082",12.7,5%,39 : 61,42.1–44.9,28.2,35.6,70.7,80.7,34.4,23.1513,113.3447
401–500,Southeast University,China,"37,484",12.3,4%,36 : 64,42.1–44.9,34.8,42.3,47.2,93.7,37.8,31.8861,118.8198
401–500,Southern Medical University,,"20,432",10.7,6%,,42.1–44.9,38.6,37.7,58.0,43.8,25.0,23.1826,113.3342
401–500,SRUC (Scotland’s Rural College),United Kingdom,"1,325",5.3,8%,60:40:00,42.1–44.9,23.6,12.6,92.1,42.5,59.1,,
401–500,University of Strathclyde,United Kingdom,"19,840",17.0,29%,50:50:00,42.1–44.9,32.0,33.9,56.1,47.8,89.7,55.8621,-4.2424
401–500,Sumy State University,Ukraine,"8,703",11.4,21%,44:56:00,42.1–44.9,19.5,12.3,94.5,39.9,57.2,50.8918,34.8432
401–500,Syracuse University,United States,"20,620",14.9,23%,52:48:00,42.1–44.9,34.9,28.0,64.3,37.2,50.7,43.0387,-76.1337
401–500,Universiti Teknologi Petronas,Malaysia,"5,021",13.6,16%,38 : 62,42.1–44.9,26.8,33.8,58.9,77.6,76.7,4.3836,100.9712
401–500,Tianjin University,China,"27,353",8.7,12%,,42.1–44.9,35.3,42.8,51.6,89.9,41.5,39.1081,117.1762
401–500,Ton Duc Thang University,,"27,878",25.3,1%,56:44:00,42.1–44.9,13.5,16.0,99.2,39.8,58.4,10.7327,106.6998
401–500,University of Trento,Italy,"14,219",19.2,8%,52:48:00,42.1–44.9,27.0,32.3,66.5,41.1,56.9,46.0669,11.1231
401–500,The University of Tulsa,United States,"4,407",12.0,10%,48:52:00,42.1–44.9,37.8,17.1,75.6,48.0,36.4,36.1521,-95.9461
401–500,University of Turin,Italy,"58,463",28.4,6%,61:39:00,42.1–44.9,21.5,29.7,77.5,43.9,41.4,45.0697,7.6891
401–500,TU Wien,Austria,"10,327",17.7,31%,31 : 69,42.1–44.9,40.1,37.4,38.1,62.0,87.6,48.1987,16.3685
401–500,Umeå University,Sweden,"18,218",12.6,11%,61:39:00,42.1–44.9,21.9,29.6,78.4,38.5,64.5,63.8202,20.3054
401–500,Urmia University of Medical Sciences,Iran,"4,644",12.0,2%,51:49:00,42.1–44.9,35.0,10.0,90.4,36.9,19.7,37.5389,45.0818
401–500,Universiti Utara Malaysia,Malaysia,"12,457",11.6,30%,79:21:00,42.1–44.9,33.4,25.7,60.2,41.2,74.8,6.4485,100.5097
401–500,Victoria University of Wellington,New Zealand,"17,883",18.8,20%,58:42:00,42.1–44.9,27.8,34.0,53.2,53.7,87.4,-41.2901,174.7679
401–500,University of Waikato,New Zealand,"10,472",17.6,31%,59:41:00,42.1–44.9,21.6,28.1,66.4,40.8,95.4,-37.7866,175.3176
401–500,University of the West of England,United Kingdom,"24,585",15.9,23%,53:47:00,42.1–44.9,18.3,14.6,92.9,37.6,72.9,,
401–500,William & Mary,United States,"8,089",10.9,8%,56:44:00,42.1–44.9,43.7,21.4,64.3,37.3,35.7,,
401–500,Xiamen University,China,"42,760",15.4,2%,,42.1–44.9,30.8,28.5,78.4,53.1,28.3,24.4373,118.0979
401–500,York University,,"44,036",29.1,28%,55:45:00,42.1–44.9,25.1,33.1,67.0,42.1,75.3,43.7735,-79.5019
501–600,Aberystwyth University,United Kingdom,"6,180",16.3,24%,52:48:00,39.3–42.0,22.3,23.4,64.1,39.8,81.1,52.4183,-4.0639
501–600,An-Najah National University,,"23,922",23.9,10%,65:35:00,39.3–42.0,13.3,8.9,98.4,38.1,64.1,32.2276,35.2206
501–600,University of L’Aquila,Italy,"18,491",40.2,4%,56:44:00,39.3–42.0,33.0,24.3,69.2,54.8,34.6,42.3514,13.3973
501–600,Beihang University,China,"31,821",12.9,4%,,39.3–42.0,32.9,39.6,48.4,90.0,27.1,39.9844,116.3446
501–600,Beijing Institute of Technology,China,"35,710",14.2,6%,,39.3–42.0,33.6,36.2,49.9,99.8,25.8,39.9604,116.3124
501–600,Birmingham City University,United Kingdom,"22,935",16.6,26%,62:38:00,39.3–42.0,16.3,10.8,90.3,37.1,72.0,52.4864,-1.9175
501–600,University of Bradford,United Kingdom,"8,400",19.1,30%,57:43:00,39.3–42.0,22.0,22.7,62.5,39.7,84.2,53.7915,-1.7661
501–600,Bucharest University of Economic Studies,Romania,"22,723",16.2,4%,65:35:00,39.3–42.0,17.9,11.1,97.7,37.8,24.6,44.4475,26.0979
501–600,Centrale Nantes,France,"1,730",15.7,43%,24 : 76,39.3–42.0,31.9,28.7,45.3,81.0,86.3,47.2483,-1.5496
501–600,Changsha University of Science and Technology,China,"33,342",15.3,1%,37 : 63,39.3–42.0,15.5,11.8,93.8,54.8,23.5,28.213,112.9163
501–600,Charles University,Czech Republic,"49,787",13.2,22%,62:38:00,39.3–42.0,33.2,31.0,49.7,37.3,64.3,50.0871,14.4235
501–600,University of Côte d’Azur,France,"31,723",20.2,20%,56:44:00,39.3–42.0,24.9,21.1,69.9,37.6,74.0,43.7169,7.268
501–600,Damietta University,Egypt,"30,084",24.7,1%,71:29:00,39.3–42.0,17.0,8.2,99.9,37.5,39.0,,
501–600,Durban University of Technology,South Africa,"27,063",36.5,1%,54:46:00,39.3–42.0,17.6,11.6,90.0,38.5,38.8,-29.8536,31.0061
501–600,Eastern Mediterranean University,Northern Cyprus,"14,375",27.0,76%,43:57:00,39.3–42.0,22.4,14.2,76.6,46.1,89.3,35.1424,33.9116
501–600,École des Mines de Saint-Étienne,France,"1,115",9.9,25%,28 : 72,39.3–42.0,32.3,30.8,51.6,76.1,70.9,45.4225,4.4084
501–600,Federal University of Toulouse Midi-Pyrénées,France,"108,889",19.8,14%,55:45:00,39.3–42.0,26.4,27.5,61.2,39.9,66.0,43.5949,1.4514
501–600,Florida International University,United States,"35,590",23.3,9%,57:43:00,39.3–42.0,32.2,27.4,62.7,37.9,41.7,25.7562,-80.3755
501–600,University of Fribourg,Switzerland,"6,880",15.6,14%,64:36:00,39.3–42.0,29.3,31.3,54.8,49.4,82.5,46.8064,7.152
501–600,"Goldsmiths, University of London",United Kingdom,"9,215",14.9,39%,66:34:00,39.3–42.0,25.5,25.9,63.4,37.0,80.7,51.4743,-0.0354
501–600,Government College University Faisalabad,Pakistan,"21,219",27.3,0%,46:54:00,39.3–42.0,16.8,13.1,88.1,37.0,45.3,31.4161,73.07
501–600,University of Greenwich,United Kingdom,"15,045",20.2,44%,57:43:00,39.3–42.0,18.1,16.8,78.2,37.8,94.6,51.483,-0.0064
501–600,University of Guelph,Canada,"22,763",27.4,10%,59:41:00,39.3–42.0,29.5,33.4,48.7,49.3,60.6,43.5327,-80.2262
501–600,Gwangju Institute of Science and Technology (GIST),South Korea,"1,808",10.0,8%,25 : 75,39.3–42.0,44.5,40.8,31.4,76.8,39.8,35.2276,126.8394
501–600,Harokopio University of Athens,Greece,"3,125",46.6,3%,53:47:00,39.3–42.0,23.2,24.2,76.2,43.9,43.9,37.9612,23.7083
501–600,Heriot-Watt University,United Kingdom,"9,735",17.9,37%,40 : 60,39.3–42.0,31.2,31.1,48.3,43.0,94.0,55.9095,-3.3206
501–600,Hokkaido University,Japan,"18,263",8.4,11%,30 : 70,39.3–42.0,43.1,40.8,32.2,65.4,44.0,43.078,141.34
501–600,Hong Kong Baptist University,Hong Kong,"8,358",12.4,62%,67:33:00,39.3–42.0,26.5,28.2,57.4,40.1,98.0,22.3408,114.1799
501–600,University of Hull,United Kingdom,"12,565",17.2,19%,55:45:00,39.3–42.0,25.3,24.6,62.1,38.2,77.6,53.7731,-0.367
501–600,University of Iceland,Iceland,"10,642",17.9,10%,68:32:00,39.3–42.0,18.7,32.0,66.3,63.1,61.6,64.1405,-21.9495
501–600,Indian Institute of Technology Ropar,India,"2,339",13.6,0%,0.765972222,39.3–42.0,30.1,15.4,78.4,42.7,19.4,30.9686,76.4733
501–600,University of Insubria,Italy,"9,789",27.0,6%,55:45:00,39.3–42.0,18.0,22.6,84.8,38.6,40.3,45.8144,8.8275
501–600,"International Institute of Information Technology, Hyderabad",India,"1,862",18.1,7%,0.888888889,39.3–42.0,18.4,23.1,79.5,68.8,30.2,17.4449,78.3498
501–600,Iran University of Science and Technology,Iran,"15,436",33.9,1%,34 : 66,39.3–42.0,32.6,36.8,54.2,98.4,21.2,35.7422,51.5049
501–600,"Islamic Azad University, Najafabad Branch (IAUN)",Iran,"21,971",17.7,0%,47:53:00,39.3–42.0,21.9,8.5,96.4,37.3,23.5,,
501–600,Constructor University Bremen,,"1,556",21.6,84%,43:57:00,39.3–42.0,34.5,31.4,40.5,56.2,90.2,53.167,8.6516
501–600,Jamia Millia Islamia,India,"10,481",11.2,2%,49:51:00,39.3–42.0,36.6,12.5,75.8,38.2,27.7,28.5616,77.2802
501–600,Jimma University,Ethiopia,"30,473",16.3,0%,30 : 70,39.3–42.0,14.7,9.5,100.0,37.5,39.5,7.682,36.856
501–600,Johannes Kepler University of Linz,Austria,"7,133",22.5,13%,50:50:00,39.3–42.0,32.5,32.9,42.3,73.1,70.4,,
501–600,Jordan University of Science and Technology,Jordan,"25,905",14.9,13%,57:43:00,39.3–42.0,15.7,10.3,92.2,38.2,50.6,32.495,35.9912
501–600,Kafrelsheikh University,Egypt,"62,533",26.1,2%,48:52:00,39.3–42.0,13.6,8.4,96.7,39.2,48.3,31.0972,30.9474
501–600,Kashan University of Medical Sciences and Health Services,Iran,"3,419",12.8,2%,38 : 62,39.3–42.0,32.0,13.4,84.0,37.4,22.9,34.0142,51.4057
501–600,Keele University,United Kingdom,"9,170",15.3,16%,59:41:00,39.3–42.0,21.1,24.8,68.4,37.5,73.1,53.003,-2.2721
501–600,University of Kentucky,United States,"27,216",11.2,4%,57:43:00,39.3–42.0,36.1,27.3,59.2,40.4,39.0,38.0307,-84.504
501–600,Kermanshah University of Medical Sciences,Iran,"5,759",9.6,12%,53:47:00,39.3–42.0,20.8,10.3,95.0,37.3,39.3,34.3443,47.0986
501–600,University of Kragujevac,Serbia,"16,679",15.8,1%,57:43:00,39.3–42.0,21.5,8.3,96.0,39.3,33.3,44.0234,20.9216
501–600,Kyushu University,Japan,"18,568",7.8,14%,29 : 71,39.3–42.0,46.0,42.5,34.8,71.0,43.6,,
501–600,Lebanese American University,Lebanon,"7,057",10.1,19%,52:48:00,39.3–42.0,29.4,11.9,69.5,37.0,86.5,33.893,35.4778
501–600,University of Lille,France,"75,291",29.6,14%,60:40:00,39.3–42.0,30.7,21.5,59.5,42.2,62.5,50.632,3.0753
501–600,University of Lisbon,Portugal,"48,404",18.1,18%,53:47:00,39.3–42.0,26.4,35.7,53.4,43.0,60.4,38.7527,-9.1582
501–600,University of Management and Technology,Pakistan,"22,520",22.2,2%,45:55:00,39.3–42.0,14.8,9.5,99.9,39.5,45.4,31.4517,74.2937
501–600,University of Messina,Italy,"15,290",24.2,3%,63:37:00,39.3–42.0,31.7,23.6,72.1,38.6,32.1,38.1891,15.553
501–600,Middle East Technical University,Turkey,"17,151",22.5,10%,48:52:00,39.3–42.0,37.5,42.4,35.4,99.9,44.6,39.8898,32.7801
501–600,Missouri University of Science and Technology,United States,"7,617",22.3,9%,1.011805556,39.3–42.0,29.0,26.7,61.3,58.7,62.9,37.9537,-91.7756
501–600,University of Mons,Belgium,"7,450",26.9,17%,57:43:00,39.3–42.0,23.1,27.0,60.1,41.3,69.9,50.4517,3.959
501–600,National Tsing Hua University,Taiwan,"13,711",16.3,11%,41:59:00,39.3–42.0,32.6,42.6,47.2,69.2,43.0,24.7961,120.9967
501–600,National Yang Ming Chiao Tung University,Taiwan,"16,425",14.2,11%,36 : 64,39.3–42.0,41.3,46.7,34.9,79.9,41.3,24.7869,120.9975
501–600,University of Neuchâtel,Switzerland,"4,148",11.1,21%,61:39:00,39.3–42.0,26.2,25.2,58.3,39.5,88.7,46.9939,6.9387
501–600,University of Nicosia,,"4,696",11.3,54%,53:47:00,39.3–42.0,19.6,16.6,75.7,37.4,94.8,35.1658,33.3147
501–600,Northumbria University,United Kingdom,"22,500",16.2,22%,54:46:00,39.3–42.0,20.5,22.4,71.5,37.5,81.6,54.9765,-1.6071
501–600,Northwestern Polytechnical University,China,"34,095",13.9,4%,28 : 72,39.3–42.0,30.2,37.7,54.8,69.5,40.1,,
501–600,Nottingham Trent University,United Kingdom,"29,925",15.3,21%,57:43:00,39.3–42.0,19.4,15.0,79.6,37.5,82.2,52.9581,-1.1542
501–600,Open University of Catalonia,Spain,"32,319",100.5,6%,57:43:00,39.3–42.0,20.0,18.9,81.2,37.7,48.1,41.4066,2.1946
501–600,University of Peradeniya,Sri Lanka,"16,123",10.7,1%,59:41:00,39.3–42.0,17.3,8.9,99.2,39.1,40.3,7.2549,80.5974
501–600,Universitat Ramon Llull,Spain,"14,900",22.2,19%,52:48:00,39.3–42.0,19.5,17.0,83.6,40.0,66.5,41.4119,2.1312
501–600,University of Salerno,Italy,"26,289",27.4,3%,54:46:00,39.3–42.0,18.9,23.3,77.4,39.1,35.0,40.7713,14.7907
501–600,University of Saskatchewan,Canada,"17,741",17.6,22%,55:45:00,39.3–42.0,36.7,30.3,48.6,69.7,75.0,52.1334,-106.6314
501–600,University of Sassari,Italy,"15,065",37.9,2%,62:38:00,39.3–42.0,32.1,27.6,62.4,38.4,37.9,40.7249,8.5597
501–600,Saveetha Institute of Medical and Technical Sciences,,"12,394",7.4,1%,38 : 62,39.3–42.0,22.4,8.5,97.1,38.1,35.3,13.0283,80.0158
501–600,Sciences Po,France,"12,872",45.2,37%,61:39:00,39.3–42.0,28.8,25.1,57.9,39.1,82.1,48.8539,2.329
501–600,Shiraz University of Technology,Iran,"1,437",13.8,0%,37 : 63,39.3–42.0,28.4,22.8,78.0,42.1,29.4,29.5816,52.5791
501–600,SOAS University of London,United Kingdom,"4,655",12.8,53%,67:33:00,39.3–42.0,33.9,38.5,42.4,37.0,81.4,51.5224,-0.1293
501–600,University of South Carolina-Columbia,United States,"33,025",15.6,5%,55:45:00,39.3–42.0,35.0,24.0,65.5,37.6,45.9,33.9938,-81.0299
501–600,Southwestern University of Finance and Economics,China,"23,330",16.4,2%,65:35:00,39.3–42.0,20.0,12.8,93.6,39.8,39.7,30.6628,104.0163
501–600,University of Stavanger,Norway,"11,089",11.4,11%,58:42:00,39.3–42.0,20.7,15.6,72.3,41.3,77.0,58.9373,5.6972
501–600,Stevens Institute of Technology,United States,"6,624",18.6,35%,29 : 71,39.3–42.0,22.8,20.5,69.6,37.6,73.5,40.7448,-74.0256
501–600,SUNY University at Albany,United States,"16,090",17.2,8%,55:45:00,39.3–42.0,24.6,25.7,71.4,44.6,50.4,42.685,-73.8248
501–600,University of Tabuk,Saudi Arabia,"29,471",14.4,2%,57:43:00,39.3–42.0,16.1,8.6,87.9,41.7,72.9,28.3941,36.4768
501–600,Technion Israel Institute of Technology,Israel,"15,147",21.0,12%,39 : 61,39.3–42.0,33.7,30.9,51.2,38.6,72.0,32.7768,35.0231
501–600,Tokyo Medical and Dental University (TMDU),Japan,"3,010",4.4,11%,50:50:00,39.3–42.0,45.1,29.7,44.0,74.5,31.7,,
501–600,University of Trieste,Italy,"16,677",24.9,7%,57:43:00,39.3–42.0,28.5,25.5,63.8,39.0,47.5,45.6595,13.7947
501–600,University of Tsukuba,Japan,"15,725",12.7,16%,38 : 62,39.3–42.0,43.9,37.8,38.5,43.7,43.0,36.1116,140.1043
501–600,TU Dortmund University,Germany,"25,046",74.8,10%,47:53:00,39.3–42.0,35.9,43.2,43.7,46.1,44.2,51.4895,7.4147
501–600,University of Tuscia,Italy,"6,272",20.0,4%,54:46:00,39.3–42.0,19.1,20.2,81.6,47.7,39.5,42.4133,12.1142
501–600,University of Udine,Italy,"12,326",18.5,5%,54:46:00,39.3–42.0,26.1,19.6,73.6,39.9,38.2,46.066,13.2326
501–600,UiT The Arctic University of Norway,Norway,"14,377",10.1,10%,58:42:00,39.3–42.0,22.8,20.8,75.3,39.0,68.6,69.6798,18.9712
501–600,University of Valencia,Spain,"50,575",14.3,14%,58:42:00,39.3–42.0,23.0,23.8,71.3,39.0,49.9,39.4791,-0.3588
501–600,University of Vic – Central University of Catalonia,Spain,"6,472",14.0,20%,60:40:00,39.3–42.0,16.1,12.0,91.6,37.9,59.7,41.9338,2.2473
501–600,Victoria University,Australia,"16,106",45.2,25%,55:45:00,39.3–42.0,25.5,26.9,63.6,44.5,79.1,-37.7937,144.8985
501–600,Virginia Commonwealth University,United States,"26,472",10.7,4%,63:37:00,39.3–42.0,28.9,12.3,86.2,42.5,30.7,37.5527,-77.4527
501–600,Wayne State University,United States,"22,941",11.9,5%,59:41:00,39.3–42.0,34.0,18.6,67.2,48.8,35.3,42.3591,-83.0665
501–600,The University of the West Indies,Jamaica,"24,811",17.0,1%,71:29:00,39.3–42.0,17.6,10.8,90.3,38.9,58.1,18.0059,-76.7468
501–600,Xi’an Jiaotong University,China,"44,942",14.1,6%,35 : 65,39.3–42.0,36.4,42.7,47.1,75.0,29.4,34.2508,108.9837
501–600,University of Zambia,Zambia,"16,903",21.2,1%,35 : 65,39.3–42.0,15.7,9.2,96.8,38.4,49.9,-15.3923,28.3285
501–600,Zayed University,United Arab Emirates,"8,593",14.1,2%,88:12:00,39.3–42.0,17.7,16.0,79.1,37.6,74.5,25.0999,55.3866
501–600,Zhejiang Normal University,China,"26,928",11.7,7%,,39.3–42.0,16.7,15.5,87.5,65.4,30.5,29.0792,119.6474
601–800,Abdul Wali Khan University Mardan,Pakistan,"10,314",20.9,0%,32 : 68,34.0–39.2,15.0,12.0,88.0,36.9,46.4,34.1917,72.0347
601–800,Åbo Akademi University,Finland,"5,399",17.6,10%,,34.0–39.2,22.0,31.2,44.4,40.0,65.0,60.451,22.2776
601–800,Addis Ababa University,Ethiopia,"46,881",14.8,0%,29 : 71,34.0–39.2,19.6,12.4,79.5,41.9,46.6,9.0335,38.7637
601–800,Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,"8,601",11.6,2%,60:40:00,34.0–39.2,33.5,10.0,65.5,37.5,18.2,,
601–800,Ajou University,South Korea,"7,574",14.2,17%,42:58:00,34.0–39.2,31.1,37.5,41.7,74.3,44.4,37.2831,127.0448
601–800,Amedeo Avogadro University of Eastern Piedmont,Italy,"14,292",37.1,7%,61:39:00,34.0–39.2,13.9,22.2,64.5,37.5,41.6,,
601–800,American University,United States,"12,495",11.6,11%,63:37:00,34.0–39.2,40.7,16.8,55.7,42.5,37.3,38.938,-77.0889
601–800,American University of Sharjah,United Arab Emirates,"4,468",11.9,76%,53:47:00,34.0–39.2,20.9,21.3,45.6,38.9,93.5,25.3116,55.4927
601–800,Amirkabir University of Technology,Iran,"10,673",21.2,2%,35 : 65,34.0–39.2,30.1,31.9,54.9,64.9,31.7,35.7022,51.409
601–800,University of Antofagasta,Chile,"8,083",20.4,2%,56:44:00,34.0–39.2,14.8,9.5,81.0,36.9,52.4,-23.6691,-70.4054
601–800,University of Arkansas,United States,"25,207",19.4,4%,54:46:00,34.0–39.2,29.1,27.6,48.5,39.5,30.6,36.0687,-94.1748
601–800,Auburn University,United States,"27,512",18.2,10%,50:50:00,34.0–39.2,32.4,23.4,45.9,43.8,49.3,32.5981,-85.4943
601–800,Azarbaijan Shahid Madani University,Iran,"7,350",26.2,0%,61:39:00,34.0–39.2,18.1,13.0,83.8,38.4,22.7,37.812,45.9468
